image_index,method,total_loss,psnr_c,ssim_c,psnr_s,ssim_s,ber_img,ber_text,text_acc
804,dwt,0.014679180458188057,30.901884078979492,0.9703624248504639,28.582948684692383,0.9668655395507812,0.3460896809895833,0.0,1.0
804,spread_spectrum,0.25380921363830566,28.793628692626953,0.9371435642242432,16.03227424621582,0.7756878733634949,0.4305216471354167,0.0,1.0
804,statistical,0.012737242504954338,30.632707595825195,0.9662365317344666,29.256784439086914,0.9658553600311279,0.3357442220052083,0.0,1.0
805,original,0.02618323266506195,32.47871398925781,0.9742235541343689,25.919883728027344,0.9029240012168884,0.3640034993489583,1.0,0.0
805,lsb,0.026061387732625008,32.47830581665039,0.9742184281349182,25.94060707092285,0.9029635787010193,0.3643391927083333,1.0,0.0
805,dct,0.014720923267304897,32.166221618652344,0.9694930911064148,28.506309509277344,0.9768972992897034,0.3442789713541667,0.0,1.0
805,dwt,0.012965572997927666,32.20951461791992,0.970045268535614,29.080677032470703,0.9776768088340759,0.337982177734375,0.0,1.0
805,spread_spectrum,0.2511400878429413,29.733694076538086,0.9359697699546814,16.073434829711914,0.8032616972923279,0.4286905924479167,0.0,1.0
805,statistical,0.012241853401064873,31.88075065612793,0.9666944146156311,29.36001968383789,0.9669992327690125,0.334716796875,0.0,1.0
806,original,0.028062552213668823,31.527809143066406,0.9613223671913147,25.63472557067871,0.9308359622955322,0.3740743001302083,1.0,0.0
806,lsb,0.028063207864761353,31.527446746826172,0.9613230228424072,25.63469696044922,0.9308466911315918,0.374114990234375,1.0,0.0
806,dct,0.013441318646073341,31.337547302246094,0.9551076889038086,28.962120056152344,0.9776964783668518,0.3452555338541667,0.0,1.0
806,dwt,0.014094967395067215,31.40791893005371,0.9567392468452454,28.740636825561523,0.9735273718833923,0.3464457194010417,0.0,1.0
806,spread_spectrum,0.2811681032180786,29.13492774963379,0.9088563323020935,15.589873313903809,0.7767019867897034,0.4404195149739583,0.0,1.0
806,statistical,0.0139118367806077,31.201021194458008,0.9530261158943176,28.81208038330078,0.9713945388793945,0.3477274576822917,0.0,1.0
807,original,0.04339111968874931,23.43868637084961,0.9441249370574951,24.11431312561035,0.8917522430419922,0.370819091796875,1.0,0.0
807,lsb,0.04335755482316017,23.438724517822266,0.9441242218017578,24.118083953857422,0.8917474746704102,0.37066650390625,1.0,0.0
807,dct,0.0296354778110981,23.43097496032715,0.9425132870674133,26.010814666748047,0.9498661160469055,0.3549601236979167,1.0,0.0
807,dwt,0.029404055327177048,23.428298950195312,0.942523181438446,26.051475524902344,0.946169376373291,0.3592427571614583,1.0,0.0
807,spread_spectrum,0.24290859699249268,22.979040145874023,0.9238557815551758,16.288312911987305,0.8056342601776123,0.42340087890625,0.0,1.0
807,statistical,0.029574310407042503,23.393171310424805,0.9409106373786926,26.028268814086914,0.9373693466186523,0.35247802734375,0.0,1.0
808,original,0.031555358320474625,28.261301040649414,0.9757429957389832,25.22616195678711,0.9333387017250061,0.3803202311197917,1.0,0.0
